2025-10-02 03:10:45.690 28811-28811 Capacitor/...oardPlugin com.confessr.app                     V  Notifying listeners for event keyboardWillShow
2025-10-02 03:10:45.690 28811-28811 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardWillShow
2025-10-02 03:10:46.019 28811-28811 Capacitor/...oardPlugin com.confessr.app                     V  Notifying listeners for event keyboardDidShow
2025-10-02 03:10:46.019 28811-28811 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardDidShow
2025-10-02 03:10:55.902 28811-28811 Capacitor               com.confessr.app                     V  callback: 123754013, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"INSERT OR REPLACE INTO messages\n       (id, group_id, user_id, content, is_ghost, message_type, category, parent_id, image_url, created_at, updated_at, deleted_at)\n       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?);","values":["1759354855762-uhm2tw57lo8","78045bbf-7474-46df-aac1-f34936b67d24","839d1d4a-e72b-47bb-b74e-ef28a15f43ee","Fuvubyvv uvvu h y",1,"text",null,null,null,1759354855763,null,null],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-10-02 03:10:56.203 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.196 📤 Sending message 1759354855762-uhm2tw57lo8...
2025-10-02 03:10:56.204 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.196 [send-1759354855762-uhm2tw57lo8] stage: entered send
2025-10-02 03:10:56.204 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.196 [send-1759354855762-uhm2tw57lo8] input: group=78045bbf user=839d1d4a ghost=true type=text dedupe=true
2025-10-02 03:10:56.205 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.196 [send-1759354855762-uhm2tw57lo8] checkHealth() -> start
2025-10-02 03:10:56.224 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754014, pluginId: Network, methodName: getStatus
2025-10-02 03:10:56.224 28811-28811 Capacitor               com.confessr.app                     V  callback: 123754014, pluginId: Network, methodName: getStatus, methodData: {}
2025-10-02 03:10:56.258 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.243 🌐 Network state: online=true webViewReady=true type=cellular
2025-10-02 03:10:56.258 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.243 🏥 Health check: starting (online=true webViewReady=true)
2025-10-02 03:10:56.259 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.243 🏥 Health check: using cached access token (healthy)
2025-10-02 03:10:56.259 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.243 [send-1759354855762-uhm2tw57lo8] checkHealth() -> healthy
2025-10-02 03:10:56.259 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.243 [send-1759354855762-uhm2tw57lo8] stage: health ok
2025-10-02 03:10:56.259 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.243 📤 Direct send attempt 1/3 - message 1759354855762-uhm2tw57lo8
2025-10-02 03:10:56.259 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.243 [send-1759354855762-uhm2tw57lo8] stage: pre-network
2025-10-02 03:10:56.259 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] pre-network: acquiring full client (≤5000ms)
2025-10-02 03:10:56.259 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 🔑 getClient() called - hasClient=true isInitialized=true initPromiseActive=false
2025-10-02 03:10:56.259 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] using full client
2025-10-02 03:10:56.260 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] auth: using cached token snapshot=true
2025-10-02 03:10:56.260 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] postgrest present=true hasAuthFn=false
2025-10-02 03:10:56.260 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] fast-path: using direct REST upsert (snapshot token)
2025-10-02 03:10:56.260 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] stage: network attempt started (path=rest)
2025-10-02 03:10:56.261 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] POST /messages (fast-path)
2025-10-02 03:10:56.261 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] stage: pre-network
2025-10-02 03:10:56.261 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] fast-path: direct REST upsert -> https://sxykfyqrqwifkirveqgr.supabase.co/rest/v1/messages?on_conflict=dedupe_key&select=*,reactions(*),users!messages_user_id_fkey(display_name,avatar_url)
2025-10-02 03:10:56.261 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.244 [send-1759354855762-uhm2tw57lo8] POST /messages (fast-path)
2025-10-02 03:10:56.262 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.245 [send-1759354855762-uhm2tw57lo8] stage: network attempt started (path=rest)
2025-10-02 03:10:56.437 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.435 [send-1759354855762-uhm2tw57lo8] fast-path: direct REST upsert successful
2025-10-02 03:10:56.437 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.435 [send-1759354855762-uhm2tw57lo8] stage: response received
2025-10-02 03:10:56.437 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.435 ✅ Direct send successful - message 1759354855762-uhm2tw57lo8
2025-10-02 03:10:56.437 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.435 [TERMINAL] DIRECT_SUCCESS id=1759354855762-uhm2tw57lo8 ts=2025-10-01T21:40:56.435Z
2025-10-02 03:10:56.437 28811-28811 Capacitor/Console       com.confessr.app                     D  File: https://localhost/assets/index-hb7OPIml.js - Line 355 - Msg: [send-1759354855762-uhm2tw57lo8] attempt-1: 191.544921875 ms
2025-10-02 03:10:56.437 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.435 ✅ Message 1759354855762-uhm2tw57lo8 sent successfully
2025-10-02 03:10:56.438 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 359 - Msg: [supabase-pipeline] 21:40:56.435 [supabase-pipeline] push-fanout call: origin=https://localhost headers=[Content-Type,apikey,Authorization]
2025-10-02 03:10:56.654 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: [realtime-v2] 📨 Realtime INSERT received: id=1b8f0b8e-9e7a-401f-bccf-899beae7bdd9, content="Fuvubyvv uvvu h y...", user=839d1d4a-e72b-47bb-b74e-ef28a15f43ee, dedupe=d:839d1d4a-e72b-47bb-b74e-ef28a15f43ee:78045bbf-7474-46df-aac1-f34936b67d24:1759354855762-uhm2tw57lo8
2025-10-02 03:10:56.723 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: [realtime-v2] 📨 Built message from row: id=1b8f0b8e-9e7a-401f-bccf-899beae7bdd9, delivery_status=delivered
2025-10-02 03:10:56.723 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: 📨 attachMessageToState: action=replaced-by-dedupe, id=1b8f0b8e-9e7a-401f-bccf-899beae7bdd9, before=27, after=27
2025-10-02 03:10:56.723 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 362 - Msg: 📦 MessageCache: CACHED 10 messages for group 78045bbf-7474-46df-aac1-f34936b67d24
2025-10-02 03:10:56.723 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: 📦 MessageCache updated for group 78045bbf-7474-46df-aac1-f34936b67d24 after realtime insert (27 messages)
2025-10-02 03:10:56.723 28811-28811 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-hb7OPIml.js - Line 386 - Msg: [realtime-v2] 📨 Message attached to state: id=1b8f0b8e-9e7a-401f-bccf-899beae7bdd9
2025-10-02 03:10:56.797 28811-28811 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 123754015, pluginId: CapacitorSQLite, methodName: run
