
2025-09-24 02:15:15.773 23413-23413 Capacitor/...oardPlugin com.confessr.app                     D  No listeners found for event keyboardDidShow
2025-09-24 02:15:48.171 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.155 📤 Direct send attempt 1/3 - message 1758660347945-tohe1mat0rd
2025-09-24 02:15:48.171 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:48.155 🔑 getClient() called - hasClient=true isInitialized=true initPromiseActive=false
2025-09-24 02:15:51.075 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 727 - Msg: 📤 Send button clicked, processing message... [object Object]
2025-09-24 02:15:51.081 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 727 - Msg: 📤 About to send message: [object Object]
2025-09-24 02:15:51.082 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 385 - Msg: 📤 sendMessage called: [object Object]
2025-09-24 02:15:51.082 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 727 - Msg: ✅ Message dispatched, clearing input
2025-09-24 02:15:51.083 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132501, pluginId: Network, methodName: getStatus
2025-09-24 02:15:51.083 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132501, pluginId: Network, methodName: getStatus, methodData: {}
2025-09-24 02:15:51.111 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 385 - Msg: 🌐 Network status: [object Object]
2025-09-24 02:15:51.227 23413-23413 Capacitor/Plugin        com.confessr.app                     V  To native (Capacitor plugin): callbackId: 19132502, pluginId: CapacitorSQLite, methodName: run
2025-09-24 02:15:51.228 23413-23413 Capacitor               com.confessr.app                     V  callback: 19132502, pluginId: CapacitorSQLite, methodName: run, methodData: {"database":"confessr_db","statement":"INSERT OR REPLACE INTO messages\n       (id, group_id, user_id, content, is_ghost, message_type, category, parent_id, image_url, created_at, updated_at, deleted_at)\n       VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?);","values":["1758660351105-qlkwuxg99d","87faebb0-0bf4-49c9-8119-8d56abe52be2","839d1d4a-e72b-47bb-b74e-ef28a15f43ee","Ynn6yn",0,"text",null,null,null,1758660351106,null,null],"transaction":true,"readonly":false,"returnMode":"no","isSQL92":true}
2025-09-24 02:15:51.390 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.380 📤 Sending message 1758660351105-qlkwuxg99d...
2025-09-24 02:15:51.390 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.380 [send-1758660351105-qlkwuxg99d] input: group=87faebb0 user=839d1d4a ghost=false type=text dedupe=true
2025-09-24 02:15:51.390 23413-23413 Capacitor/Console       com.confessr.app                     I  File: https://localhost/assets/index-D1Gkrg-J.js - Line 358 - Msg: [supabase-pipeline] 20:45:51.380 [send-1758660351105-qlkwuxg99d] checkHealth() -> start
